new entry "BRN_OBJ_Burner_Chest"
type "Object"
using "_Container"
data "RootTemplate" "a1e407ca-5e27-4c7c-86f4-51e92212a60b"
data "ValueOverride" "7"
data "Weight" "0.01"
data "Vitality" "1"
data "Rarity" "Legendary"
data "BludgeoningResistance" "Vulnerable"
data "SlashingResistance" "Vulnerable"
data "PiercingResistance" "Vulnerable"
data "AcidResistance" "Vulnerable"
data "ColdResistance" "Vulnerable"
data "FireResistance" "Vulnerable"
data "ForceResistance" "Vulnerable"
data "LightningResistance" "Vulnerable"
data "NecroticResistance" "Vulnerable"
data "PoisonResistance" "Vulnerable"
data "PsychicResistance" "Vulnerable"
data "RadiantResistance" "Vulnerable"
data "RadiantResistance" "Vulnerable"
data "ThunderResistance" "Vulnerable"
