new entry "BRN_Spell_Target_Conjure_Burner_Chest"
type "SpellData"
data "SpellType" "Target"
data "Level" "1"
data "SpellSchool" "Transmutation"
data "SpellProperties" "GROUND:Summon(a1e407ca-5e27-4c7c-86f4-51e92212a60b,Permanent, Projectile_AiHelper_Summon_Weak,);AI_IGNORE:GROUND:CreateSurface(1, -1, None)"
data "TargetRadius" "15"
data "TargetConditions" "not Character() and not Item() and not Summon()"
data "Icon" "Spell_Evocation_SearingSmite"
data "DisplayName" "h12a22cc3g25f5g417agb90cg818ebb7f7e05;1"
data "Description" "h2fcbd5c9g9641g4fa2g811bg3888db4b7e40;4"
data "DescriptionParams" ""
data "TooltipDamageList" ""
data "TooltipUpcastDescription" ""
data "PrepareSound" "Spell_Prepare_Damage_Fire_Gen_L1to3"
data "PrepareLoopSound" "Spell_Prepare_Damage_Fire_Gen_L1to3_Loop"
data "CastSound" "Spell_Cast_Damage_HeatMetal_L1to3"
data "TargetSound" "Spell_Impact_Damage_HeatMetal_L1to3"
data "CastTextEvent" "Cast"
data "CycleConditions" "Ally() and not Dead()"
data "UseCosts" "ActionPoint:1"
data "Cooldown" "OncePerShortRest"
data "SpellAnimation" "3ff87abf-1ea1-4c32-aadf-c822d74c7dc0,,;,,;d30d2b40-c45a-45bd-94d7-9b2baaf0f77b,,;a601b33c-5320-455d-b4d4-74d6dc35b757,,;d8925ce4-d6d9-400c-92f5-ad772ef7f178,,;,,;eadedcce-d01b-4fbb-a1ae-d218f13aa5d6,,;,,;,,"
data "VerbalIntent" "Summon"
data "SpellFlags" "IsSpell;HasVerbalComponent;HasSomaticComponent;IsMelee"
data "RechargeValues" "4-6"
data "HitAnimationType" "MagicalNonDamage"
data "MemoryCost" "0"
data "PrepareEffect" "c88e9cfa-df92-477a-ae75-cbfb932350b4"
data "CastEffect" "7a2115d5-e9b2-4fc2-9201-767275c47f43"
data "TargetEffect" "ec3af71e-4c6e-4ca3-8af8-bcf713aab8bf"
data "DamageType" "Cold"
